ID,ID CLIENTE,CANT AFICHES,NOMBRE ARCHIVO,ZONA,ESTADO
1,58,19,morbiPorttitorLorem.gif,3,2
2,97,7,vulputate.jpeg,2,2
3,74,11,eratVolutpatIn.tiff,1,1
4,4,8,ametTurpisElementum.jpeg,3,2
5,11,13,duisAcNibh.jpeg,1,2
6,15,3,dolor.gif,3,2
7,51,12,rutrumRutrum.gif,3,2
8,19,4,etUltricesPosuere.tiff,1,2
9,5,17,posuere.tiff,3,1
10,32,18,ultriciesEu.jpeg,1,2
11,86,11,dignissimVestibulum.tiff,3,2
12,78,12,lectusInEst.tiff,2,2
13,77,12,sit.gif,3,1
14,70,3,duis.jpeg,1,2
15,85,14,ipsum.jpeg,2,2
16,60,18,mauris.png,1,2
17,50,13,laoreetUt.tiff,2,1
18,9,12,fusceConsequatNulla.png,2,2
19,12,12,anteIpsumPrimis.tiff,1,1
20,56,8,vel.jpeg,2,1
21,65,1,atFeugiat.png,1,1
22,15,6,volutpat.jpeg,1,1
23,58,17,maurisEnimLeo.jpeg,3,1
24,47,13,sapien.tiff,3,2
25,12,1,accumsanTortor.png,2,1
26,36,7,nibh.jpeg,1,1
27,94,4,tempus.gif,3,2
28,72,19,viverra.tiff,1,2
29,34,17,curabiturAtIpsum.tiff,1,1
30,70,18,pulvinar.jpeg,1,2
31,64,8,namTristiqueTortor.tiff,1,1
32,16,10,pede.tiff,2,2
33,32,18,nequeVestibulum.jpeg,1,2
34,75,1,penatibus.gif,2,2
35,65,8,felisDonec.jpeg,1,1
36,36,10,quamA.tiff,1,1
37,64,15,dis.tiff,2,1
38,45,14,erat.tiff,3,2
39,63,5,turpis.tiff,3,1
40,68,1,inPurusEu.gif,3,1
41,43,13,ligula.png,3,2
42,27,15,ipsum.gif,1,1
43,22,10,cras.jpeg,1,1
44,9,15,sapien.gif,1,2
45,17,1,posuereCubiliaCurae.jpeg,3,1
46,50,7,curabitur.tiff,1,1
47,58,7,turpis.tiff,2,1
48,93,7,eratVolutpat.tiff,1,2
49,9,7,eratErosViverra.jpeg,2,2
50,46,10,tortorId.jpeg,3,1
51,83,15,odioCras.png,2,2
52,55,5,lectusVestibulumQuam.jpeg,3,2
53,32,4,leoRhoncusSed.png,2,2
54,66,2,erat.tiff,2,1
55,58,5,posuere.jpeg,1,1
56,90,12,magnis.tiff,2,2
57,71,13,orci.jpeg,2,1
58,2,3,hacHabitassePlatea.tiff,2,1
59,25,14,pede.jpeg,1,1
60,82,11,sitAmet.gif,2,2
61,98,8,vitae.tiff,2,1
62,43,6,nequeSapienPlacerat.gif,1,2
63,17,3,felisFuscePosuere.jpeg,2,2
64,97,7,dictumstEtiamFaucibus.gif,3,1
65,92,15,eget.png,2,2
66,66,1,justoPellentesque.gif,1,1
67,47,19,tellus.jpeg,1,1
68,99,15,atFeugiatNon.png,1,1
69,32,13,turpisNecEuismod.gif,2,2
70,14,1,ametErosSuspendisse.tiff,1,1
71,25,2,augueVestibulum.gif,2,1
72,27,13,et.tiff,3,2
73,16,4,adipiscingElit.gif,3,1
74,62,7,congueEtiamJusto.tiff,3,2
75,11,18,scelerisqueQuam.gif,2,1
76,46,14,quam.tiff,2,1
77,57,5,maurisViverraDiam.gif,1,1
78,80,1,pedeJustoEu.jpeg,1,1
79,42,19,ultricesPosuere.tiff,2,1
80,78,17,montes.png,2,1
81,78,5,sed.gif,1,2
82,68,18,tellusNullaUt.tiff,1,1
83,31,15,rhoncusMaurisEnim.png,2,2
84,76,13,idLigula.jpeg,3,1
85,26,12,magna.jpeg,3,1
86,95,3,felisDonecSemper.gif,3,1
87,87,9,euFelis.jpeg,3,1
88,17,17,vel.tiff,3,2
89,100,7,miPedeMalesuada.tiff,3,1
90,82,8,vitaeIpsum.jpeg,1,2
91,58,15,proin.jpeg,3,1
92,22,3,nibhFusceLacus.jpeg,1,2
93,21,13,dolor.tiff,3,1
